"coreid","goodQualityAccessURI","scientificName","caption","comments","tag"
1374688,"https://lichenportal.org/imglib/lichens/types/Cladonia_hammeri_holo.JPG","Cladonia hammeri","","Holotype","HasOrganism"
1420660,"https://lichenportal.org/imglib/lichens/types/Caloplaca_texana_iso.JPG","Caloplaca texana","","Isotype","HasOrganism"
1374658,"https://lichenportal.org/imglib/lichens/types/Catapyrenium_caeruleopulvinum_iso.JPG","Placopyrenium caeruleopulvinum","","Isotype","HasOrganism"
690634,"https://lichenportal.org/imglib/lichens/UNC/201102/Unknown_R-4.jpg","Endocarpon","field image of specimen source","",""
691204,"https://lichenportal.org/imglib/lichens/UNC/201102/Melanelixia_subargentifer.jpg","Melanelixia subargentifera","field image of specimen source","specimen at HBG for study",""
689736,"https://lichenportal.org/imglib/lichens/UNC/201102/Multiclavula_mucida_D_Har.jpg","Multiclavula mucida","field image of specimen source","",""
689162,"https://lichenportal.org/imglib/lichens/UNC/201102/Mycoporum_acervatum.jpg","Mycoporum acervatum","field image of specimen source","",""
691348,"https://lichenportal.org/imglib/lichens/UNC/201102/Brigantiaea_leucoxantha_1.jpg","Brigantiaea leucoxantha","field image of specimen source","",""
691094,"https://lichenportal.org/imglib/lichens/UNC/201102/Chrysothrix_xanthina_474_.jpg","Chrysothrix xanthina","field image of specimen source","",""
690901,"https://lichenportal.org/imglib/lichens/UNC/201102/Cladonia_arbuscula_FOMA_1.jpg","Cladonia leporina","field image of specimen","",""
690294,"https://lichenportal.org/imglib/lichens/UNC/201102/Cladonia_caroliniana__mos.jpg","Cladonia caroliniana","field image of specimen source","",""
691096,"https://lichenportal.org/imglib/lichens/UNC/201102/Cladonia_subtenuis_475_RA.jpg","Cladonia subtenuis","field image of specimen source","",""
690879,"https://lichenportal.org/imglib/lichens/UNC/201102/Lecanora_caesiorubella_FO.jpg","Lecanora protervula","field image of specimen","",""
691133,"https://lichenportal.org/imglib/lichens/UNC/201102/Leptogium_cyanescens_PIMO.jpg","Leptogium cyanescens","field image of specimen source","",""
691207,"https://lichenportal.org/imglib/lichens/UNC/201102/Varicellaria_velata_441_.jpg","Varicellaria velata","Varicellaria velata thallus","","HasOrganism"
690990,"https://lichenportal.org/imglib/lichens/UNC/201102/007_Lopodia_disciformis1.jpg","Lopadium disciforme","field image of specimen source","",""
690992,"https://lichenportal.org/imglib/lichens/UNC/201102/009_Biatora_pontica.jpg","Biatora pontica","field image of specimen source","",""
691011,"https://lichenportal.org/imglib/lichens/UNC/201102/018_Rhizocarpon_eupatraeo.jpg","Rhizocarpon eupetraeoides","","photovoucher; specimen at hb-Eagle Hill, Maine",""
691021,"https://lichenportal.org/imglib/lichens/UNC/201102/020_Ochrolechia_androgyna.jpg","Ochrolechia androgyna","field image of specimen source","",""
